--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
040.797  000.162  000.078: require('ibl.config')
040.905  000.049  000.049: require('ibl.indent')
040.917  000.117  000.068: require('ibl.hooks')
040.921  000.304  000.025: require('ibl.highlights')
040.971  000.047  000.047: require('ibl.autocmds')
041.040  000.067  000.067: require('ibl.inlay_hints')
041.088  000.045  000.045: require('ibl.virt_text')
041.323  000.188  000.188: require('ibl.scope_languages')
041.326  000.235  000.047: require('ibl.scope')
041.331  000.897  000.199: require('ibl')
041.343  000.948  000.051: sourcing /home/tommy/.local/share/nvim/lazy/indent-blankline.nvim/after/plugin/commands.lua
041.346  000.969  000.021: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
041.561  000.034  000.034: require('cmp.utils.char')
041.566  000.059  000.025: require('cmp.utils.str')
041.641  000.015  000.015: require('cmp.utils.buffer')
041.649  000.055  000.040: require('cmp.utils.keymap')
041.650  000.084  000.029: require('cmp.utils.feedkeys')
041.750  000.029  000.029: require('cmp.config.mapping')
041.770  000.019  000.019: require('cmp.utils.cache')
041.829  000.028  000.028: require('cmp.config.compare')
041.830  000.059  000.032: require('cmp.config.default')
041.847  000.165  000.057: require('cmp.config')
041.855  000.204  000.039: require('cmp.utils.async')
041.893  000.015  000.015: require('cmp.utils.pattern')
041.896  000.040  000.025: require('cmp.context')
042.038  000.062  000.062: require('cmp.utils.snippet')
042.061  000.022  000.022: require('cmp.matcher')
042.065  000.133  000.049: require('cmp.entry')
042.070  000.174  000.041: require('cmp.source')
